,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,cluster_label
count,3428.0,3428.0,3428.0,3428.0,3428.0,3428.0
mean,3.038413753250928,2.8283231003574403,7.892489044233232,5.41143273519431,0.4478503158056308,0.0
std,1.6414913681252086,1.9477024405014265,2.2020372320414587,0.6518144318941862,0.597962255081521,0.0
min,0.15018796632437936,0.00011169727981794096,6.0,2.00035040641932,0.05002108769222816,0.0
25%,1.7088332191785218,1.0858565818834582,6.239488400985028,5.216688585619715,0.112012889746063,0.0
50%,3.1343420848891093,2.9859613736082418,7.106662790124903,5.580927637489808,0.2312270684218779,0.0
75%,4.315302312115679,4.007418419701909,8.427113098307135,5.857997214866194,0.5369526119564464,0.0
max,8.680160016104757,9.960198574115287,14.995064315958125,5.999955475282407,4.950506174519722,0.0
count,198.0,198.0,198.0,198.0,198.0,198.0
mean,14.016268062635083,4.362239838761066,9.38493415508601,4.657279915791527,2.1017142648044125,1.0
std,3.8590997043262703,2.369635846404169,2.5449840663730257,1.0734713434589016,0.94669417683143,0.0
min,7.4865761717456785,0.3972516845204094,6.010813672518707,2.0310880041632795,0.6308140326191639,1.0
25%,10.726171132842904,2.537573948343908,7.195404771802485,4.107502087123732,1.3879069382808003,1.0
50%,13.454200703201764,4.157918742717516,8.725653181030783,4.879208340952774,1.91539642505006,1.0
75%,17.329783229750515,5.824423918570477,11.09275808615168,5.535179987428949,2.4964123251120247,1.0
max,21.57936052359989,9.963741492405793,14.939998160846992,5.998373740410376,4.996931804129856,1.0
